TIME	U1cal
0.000	7.331
0.001	6.865
0.001	7.178
0.002	7.054
0.002	7.285
0.003	6.713
0.003	7.413
0.004	7.249
0.004	7.151
0.005	7.413
0.005	6.420
0.006	7.089
0.006	7.089
0.007	7.178
0.007	7.081
0.008	7.222
0.008	7.294
0.009	7.231
0.009	7.046
0.010	7.151
0.010	6.942
0.011	7.178
0.011	7.240
0.012	7.178
0.012	7.063
0.013	6.805
0.013	7.187
0.014	7.107
0.014	7.081
0.015	7.213
0.015	7.019
0.016	7.450
0.016	7.063
0.016	7.249
0.017	7.276
0.018	7.358
0.018	7.240
0.019	7.431
0.019	7.505
0.020	7.081
0.020	7.258
0.021	7.240
0.021	8.126
0.022	6.959
0.022	7.028
0.023	7.231
0.023	6.597
0.024	7.294
0.024	7.037
0.025	7.107
0.025	7.561
0.026	7.358
0.026	7.116
0.027	7.561
0.027	7.422
0.028	7.222
0.028	7.187
0.029	7.222
0.029	7.477
0.030	7.877
0.030	7.258
0.031	6.907
0.031	7.276
0.032	7.276
0.032	7.195
0.033	7.358
0.033	6.899
0.034	7.589
0.034	7.195
0.035	7.303
0.035	7.385
0.036	7.195
0.036	7.450
0.037	7.367
0.037	7.285
0.038	7.098
0.038	7.385
0.039	7.046
0.039	7.081
0.040	7.072
0.040	7.204
0.041	7.169
0.041	7.063
0.042	6.476
0.042	7.125
0.043	6.680
0.043	6.772
0.044	7.349
0.044	6.805
0.045	7.294
0.045	7.011
0.046	7.331
0.046	7.267
0.047	7.169
0.047	7.222
0.048	7.142
0.048	6.721
0.049	7.178
0.049	6.831
0.050	7.169
0.050	6.780
0.051	7.125
0.051	7.213
0.052	7.231
0.052	7.294
0.053	7.160
0.053	7.002
0.054	6.865
0.054	7.178
0.055	7.169
0.055	7.169
0.056	7.213
0.056	6.933
0.057	7.267
0.057	7.125
0.058	7.422
0.058	7.160
0.059	7.313
0.059	7.037
0.060	7.571
0.060	7.178
0.061	6.738
0.061	7.367
0.062	6.540
0.062	7.413
0.063	7.204
0.063	7.294
0.064	6.647
0.064	7.240
0.065	7.231
0.065	7.249
0.066	7.169
0.066	7.089
0.067	7.187
0.067	7.160
0.068	7.046
0.068	7.169
0.069	8.025
0.069	7.303
0.070	7.222
0.070	6.630
0.071	7.160
0.071	6.805
0.072	7.213
0.072	7.303
0.073	7.169
0.073	7.054
0.073	7.187
0.074	7.019
0.075	7.331
0.075	7.496
0.076	6.814
0.076	7.367
0.077	7.349
0.077	7.011
0.078	7.313
0.078	7.116
0.079	7.028
0.079	7.459
0.080	7.761
0.080	7.125
0.081	6.959
0.081	7.459
0.082	7.151
0.082	7.125
0.083	7.240
0.083	6.805
0.084	7.125
0.084	7.195
0.085	7.178
0.085	7.450
0.086	6.805
0.086	7.580
0.087	7.515
0.087	7.294
0.088	7.321
0.088	7.151
0.089	7.002
0.089	7.809
0.090	6.950
0.090	7.703
0.091	7.011
0.091	7.098
0.092	7.385
0.092	7.125
0.093	7.187
0.093	7.240
0.094	7.169
0.094	7.125
0.095	7.098
0.095	7.222
0.096	7.151
0.096	7.151
0.097	7.195
0.097	7.046
0.098	7.187
0.098	7.222
0.099	8.351
0.099	7.258
0.100	6.907
0.100	7.358
0.101	7.294
0.101	7.249
0.102	7.151
0.102	7.213
0.103	6.317
0.103	6.428
0.104	7.028
0.104	7.240
0.105	7.125
0.105	7.231
0.106	6.985
0.106	7.187
0.107	7.285
0.107	7.376
0.108	7.276
0.108	7.187
0.109	6.663
0.109	7.267
0.110	7.107
0.110	7.376
0.111	7.321
0.111	6.882
0.112	7.195
0.112	6.688
0.113	7.125
0.113	7.505
0.114	7.054
0.114	7.331
0.115	7.160
0.115	6.907
0.116	7.125
0.116	7.358
0.117	7.376
0.117	7.187
0.118	7.222
0.118	7.459
0.119	8.035
0.119	7.054
0.120	7.098
0.120	7.222
0.121	6.721
0.121	7.524
0.122	7.394
0.122	6.976
0.123	7.204
0.123	7.072
0.124	7.098
0.124	7.037
0.125	7.002
0.125	7.028
0.126	7.819
0.126	6.873
0.127	7.413
0.127	7.142
0.128	7.011
0.128	7.046
0.128	7.533
0.129	7.169
0.130	7.213
0.130	7.107
0.131	7.331
0.131	7.213
0.132	7.267
0.132	7.231
0.133	7.240
0.133	7.222
0.134	6.968
0.134	7.349
0.135	7.160
0.135	7.213
0.136	7.321
0.136	7.054
0.137	7.431
0.137	6.916
0.138	7.081
0.138	7.267
0.139	7.608
0.139	7.011
0.140	7.054
0.140	6.985
0.141	8.176
0.141	7.294
0.142	7.240
0.142	7.089
0.143	6.763
0.143	7.431
0.144	6.380
0.144	7.240
0.145	7.533
0.145	7.258
0.146	7.142
0.146	7.037
0.147	7.524
0.147	7.213
0.148	7.019
0.148	7.063
0.149	7.459
0.149	7.580
0.150	7.240
0.150	7.675
0.151	6.805
0.151	7.385
0.152	7.385
0.152	7.267
0.153	7.222
0.153	7.204
0.154	7.907
0.154	7.160
0.155	7.258
0.155	7.169
0.156	7.178
0.156	7.107
0.157	7.231
0.157	7.204
0.158	7.367
0.158	7.313
0.159	7.249
0.159	6.805
0.160	7.313
0.160	7.213
0.161	7.054
0.161	7.809
0.162	7.907
0.162	7.285
0.163	7.063
0.163	7.413
0.164	7.267
0.164	7.054
0.165	7.125
0.165	7.331
0.166	6.500
0.166	7.450
0.167	7.151
0.167	7.089
0.168	7.151
0.168	7.195
0.169	7.637
0.169	7.231
0.170	7.258
0.170	7.169
0.171	7.222
0.171	7.204
0.172	7.178
0.172	7.098
0.173	7.142
0.173	7.722
0.174	7.187
0.174	7.684
0.175	6.950
0.175	7.098
0.176	7.358
0.176	7.019
0.177	7.072
0.177	7.213
0.178	7.187
0.178	7.072
0.179	7.349
0.179	7.349
0.180	7.151
0.180	7.195
0.181	7.303
0.181	7.116
0.182	7.258
0.182	8.445
0.183	7.450
0.183	7.249
0.184	6.976
0.184	7.160
0.185	7.125
0.185	8.095
0.186	7.790
0.186	7.496
0.187	7.160
0.187	6.856
0.188	7.321
0.188	7.240
0.189	7.627
0.189	7.285
0.190	7.222
0.190	6.763
0.191	7.072
0.191	7.037
0.192	7.178
0.192	7.422
0.193	7.116
0.193	6.705
0.194	7.089
0.194	7.151
0.195	7.063
0.195	7.477
0.196	7.107
0.196	6.873
0.197	7.098
0.197	7.098
0.198	7.169
0.198	7.160
0.199	7.331
0.199	7.385
0.200	6.993
0.200	7.204
0.201	7.178
0.201	7.089
0.202	6.899
0.202	7.046
0.203	7.404
0.203	7.098
0.204	6.916
0.204	7.829
0.205	7.107
0.205	7.054
0.206	7.046
0.206	7.169
0.207	7.267
0.207	7.178
0.208	7.267
0.208	6.797
0.209	8.105
0.209	7.394
0.210	7.276
0.210	7.107
0.211	7.222
0.211	7.249
0.212	7.276
0.212	6.873
