TIME	U1cal
0.000	6.549
0.001	7.385
0.001	6.985
0.002	6.738
0.002	6.772
0.003	6.993
0.003	6.942
0.004	6.993
0.004	7.267
0.005	7.028
0.005	6.270
0.006	6.047
0.006	6.865
0.007	7.028
0.007	5.979
0.008	5.236
0.008	6.882
0.009	6.805
0.009	6.882
0.010	7.468
0.010	6.713
0.011	6.388
0.011	6.780
0.012	6.630
0.012	6.565
0.013	5.665
0.013	6.444
0.014	6.755
0.014	7.002
0.015	7.321
0.015	6.372
0.016	7.107
0.016	7.089
0.016	7.178
0.017	6.763
0.018	7.258
0.018	6.317
0.019	6.890
0.019	7.213
0.020	7.413
0.020	7.459
0.021	7.505
0.021	7.151
0.022	6.573
0.022	6.738
0.023	7.028
0.023	7.081
0.024	7.019
0.024	7.028
0.025	6.814
0.025	7.477
0.026	7.054
0.026	7.187
0.027	7.178
0.027	7.675
0.028	7.608
0.028	6.822
0.029	6.024
0.029	6.968
0.030	6.788
0.030	6.822
0.031	6.277
0.031	6.755
0.032	6.959
0.032	6.907
0.033	6.942
0.033	6.907
0.034	6.721
0.034	6.597
0.035	6.444
0.035	6.460
0.036	6.428
0.036	6.223
0.037	6.622
0.037	6.277
0.038	6.557
0.038	6.822
0.039	6.805
0.039	6.848
0.040	6.772
0.040	6.805
0.041	6.630
0.041	6.508
0.042	6.630
0.042	7.089
0.043	6.856
0.043	6.460
0.044	6.738
0.044	6.772
0.045	6.589
0.045	5.942
0.046	6.009
0.046	6.192
0.047	6.516
0.047	6.882
0.048	7.770
0.048	6.524
0.049	6.606
0.049	6.254
0.050	6.131
0.050	6.085
0.051	6.630
0.051	7.694
0.052	6.663
0.052	6.597
0.053	6.647
0.053	6.452
0.054	6.688
0.054	6.814
0.055	6.907
0.055	6.968
0.056	6.882
0.056	7.187
0.057	7.002
0.057	6.788
0.058	6.831
0.058	6.882
0.059	6.705
0.059	6.557
0.060	7.204
0.060	6.301
0.061	6.207
0.061	6.332
0.062	6.606
0.062	6.428
0.063	6.372
0.063	6.002
0.064	5.730
0.064	6.009
0.065	6.085
0.065	5.957
0.066	6.100
0.066	5.780
0.067	6.161
0.067	6.549
0.068	6.705
0.068	6.492
0.069	6.822
0.069	5.965
0.070	6.301
0.070	6.549
0.071	6.780
0.071	6.942
0.072	7.561
0.072	6.839
0.073	6.557
0.073	6.968
0.073	6.468
0.074	6.293
0.075	6.589
0.075	7.028
0.076	6.907
0.076	6.822
0.077	6.239
0.077	7.258
0.078	6.873
0.078	7.358
0.079	7.178
0.079	6.638
0.080	6.839
0.080	7.046
0.081	6.738
0.081	6.805
0.082	7.313
0.082	6.856
0.083	7.037
0.083	6.301
0.084	6.788
0.084	6.899
0.085	6.647
0.085	6.638
0.086	6.581
0.086	7.505
0.087	6.460
0.087	6.672
0.088	6.039
0.088	6.484
0.089	7.089
0.089	7.376
0.090	6.672
0.090	7.258
0.091	6.622
0.091	6.873
0.092	6.831
0.092	6.630
0.093	6.380
0.093	6.154
0.094	6.293
0.094	6.293
0.095	6.356
0.095	6.696
0.096	6.907
0.096	7.151
0.097	7.142
0.097	7.204
0.098	6.959
0.098	6.696
0.099	6.822
0.099	6.814
0.100	6.581
0.100	6.822
0.101	6.882
0.101	6.614
0.102	6.822
0.102	6.839
0.103	6.755
0.103	6.890
0.104	7.054
0.104	6.622
0.105	5.751
0.105	6.606
0.106	6.380
0.106	6.755
0.107	6.856
0.107	7.404
0.108	6.630
0.108	7.002
0.109	7.713
0.109	6.933
0.110	6.663
0.110	7.222
0.111	6.993
0.111	6.873
0.112	7.063
0.112	7.313
0.113	6.907
0.113	7.142
0.114	7.107
0.114	7.107
0.115	7.046
0.115	6.573
0.116	6.705
0.116	6.805
0.117	7.028
0.117	7.063
0.118	6.968
