TIME	U1cal
0.000	6.565
0.001	6.916
0.001	6.380
0.002	6.146
0.002	6.380
0.003	6.340
0.003	6.372
0.004	6.476
0.004	6.638
0.005	6.492
0.005	6.396
0.006	6.364
0.006	6.200
0.007	6.524
0.007	6.557
0.008	6.460
0.008	6.002
0.009	6.428
0.009	6.317
0.010	6.484
0.010	6.565
0.011	6.614
0.011	6.614
0.012	6.262
0.012	6.396
0.013	7.160
0.013	7.019
0.014	7.063
0.014	7.054
0.015	6.655
0.015	7.019
0.016	6.839
0.016	7.385
0.016	6.420
0.017	6.772
0.018	6.301
0.018	7.089
0.019	6.763
0.019	7.063
0.020	6.622
0.020	7.002
0.021	6.797
0.021	6.890
0.022	6.856
0.022	7.204
0.023	6.655
0.023	6.788
0.024	6.950
0.024	7.142
0.025	7.358
0.025	7.037
0.026	7.081
0.026	6.755
0.027	6.831
0.027	6.839
0.028	6.797
0.028	6.436
0.029	6.508
0.029	6.524
0.030	6.231
0.030	6.899
0.031	6.822
0.031	6.899
0.032	7.285
0.032	6.763
0.033	7.187
0.033	6.788
0.034	7.819
0.034	7.178
0.035	6.680
0.035	6.070
0.036	6.950
0.036	6.573
0.037	6.882
0.037	7.125
0.038	7.011
0.038	6.856
0.039	6.565
0.039	6.638
0.040	6.589
0.040	7.294
0.041	6.115
0.041	6.484
0.042	6.428
0.042	6.428
0.043	6.622
0.043	6.622
0.044	6.589
0.044	6.372
0.045	6.364
0.045	6.396
0.046	6.606
0.046	6.672
0.047	6.565
0.047	6.270
0.048	7.276
0.048	6.916
0.049	6.638
0.049	6.663
0.050	6.565
0.050	6.805
0.051	6.907
0.051	6.839
0.052	6.452
0.052	6.372
0.053	6.131
0.053	6.062
0.054	6.899
0.054	7.125
0.055	6.805
0.055	6.630
0.056	6.680
0.056	6.680
0.057	6.848
0.057	6.177
0.058	6.508
0.058	6.372
0.059	6.396
0.059	6.412
0.060	6.524
0.060	6.630
0.061	7.195
0.061	6.332
0.062	6.412
0.062	6.215
0.063	6.317
0.063	6.231
0.064	7.081
0.064	7.046
0.065	7.187
0.065	6.647
0.066	6.589
0.066	6.412
0.067	6.317
0.067	6.797
0.068	6.933
0.068	7.169
0.069	6.805
0.069	6.763
0.070	6.746
0.070	6.492
0.071	6.805
0.071	6.192
0.072	6.262
0.072	7.019
0.073	6.882
0.073	6.993
0.073	7.116
0.074	6.899
0.075	6.873
0.075	6.933
0.076	6.865
0.076	6.420
0.077	6.396
0.077	6.372
0.078	6.070
0.078	6.581
0.079	6.396
0.079	6.484
0.080	6.062
0.080	5.651
0.081	6.146
0.081	6.184
0.082	6.184
0.082	6.549
0.083	6.705
0.083	6.738
0.084	6.647
0.084	6.746
0.085	6.557
0.085	7.169
0.086	6.655
0.086	6.516
0.087	6.696
0.087	6.663
0.088	7.098
0.088	7.313
0.089	7.037
0.089	7.028
0.090	6.916
0.090	6.655
0.091	6.301
0.091	7.116
0.092	7.072
0.092	7.276
0.093	6.763
0.093	6.968
0.094	6.606
0.094	6.822
0.095	6.492
0.095	6.161
0.096	6.492
0.096	5.868
0.097	6.696
0.097	6.573
0.098	6.581
0.098	6.814
0.099	6.655
0.099	6.606
0.100	6.239
0.100	6.468
0.101	6.184
0.101	6.309
0.102	6.540
0.102	6.581
0.103	6.396
0.103	6.161
0.104	6.039
0.104	6.380
0.105	6.647
0.105	6.254
