TIME	U1cal
0.000	7.178
0.001	6.772
0.001	7.169
0.002	7.222
0.002	7.204
0.003	7.187
0.003	7.178
0.004	7.187
0.004	7.213
0.005	7.599
0.005	6.822
0.006	7.349
0.006	6.993
0.007	6.557
0.007	7.321
0.008	8.309
0.008	7.222
0.009	7.195
0.009	7.063
0.010	6.873
0.010	7.608
0.011	6.968
0.011	7.267
0.012	7.349
0.012	7.258
0.013	7.267
0.013	7.276
0.014	7.222
0.014	7.187
0.015	7.187
0.015	7.404
0.016	7.267
0.016	7.313
0.016	7.313
0.017	7.222
0.018	7.440
0.018	7.169
0.019	6.985
0.019	7.276
0.020	7.213
0.020	7.178
0.021	7.231
0.021	7.187
0.022	7.142
0.022	7.404
0.023	7.249
0.023	7.063
0.024	7.213
0.024	7.089
0.025	7.394
0.025	7.222
0.026	7.249
0.026	7.819
0.027	7.313
0.027	7.376
0.028	7.151
0.028	8.015
0.029	7.178
0.029	7.178
0.030	8.156
0.030	7.240
0.031	7.637
0.031	7.107
0.032	7.204
0.032	6.942
0.033	7.204
0.033	7.160
0.034	7.222
0.034	7.125
0.035	7.385
0.035	7.204
0.036	7.125
0.036	7.249
0.037	7.204
0.037	7.524
0.038	7.187
0.038	7.125
0.039	7.349
0.039	7.089
0.040	7.204
0.040	7.376
0.041	7.877
0.041	7.089
0.042	7.349
0.042	7.394
0.043	7.169
0.043	7.258
0.044	7.285
0.044	7.358
0.045	8.015
0.045	7.608
0.046	7.098
0.046	7.142
0.047	6.772
0.047	7.142
0.048	7.267
0.048	7.169
0.049	7.986
0.049	7.524
0.050	6.950
0.050	7.213
0.051	7.046
0.051	7.178
0.052	7.761
0.052	7.665
0.053	7.267
0.053	7.169
0.054	7.187
0.054	7.089
0.055	6.755
0.055	7.249
0.056	7.178
0.056	7.249
0.057	7.267
0.057	7.599
0.058	6.907
0.058	7.178
0.059	7.231
0.059	7.178
0.060	6.890
0.060	7.107
0.061	7.222
0.061	7.450
0.062	7.116
0.062	7.413
0.063	7.258
0.063	7.204
0.064	7.178
0.064	6.942
0.065	7.249
0.065	7.089
0.066	6.663
0.066	7.742
0.067	7.169
0.067	7.533
0.068	7.703
0.068	7.178
