TIME	U1cal
0.000	6.899
0.001	7.011
0.001	7.450
0.002	6.993
0.002	6.589
0.003	7.072
0.003	6.907
0.004	6.780
0.004	6.873
0.005	6.444
0.005	6.763
0.006	6.705
0.006	6.738
0.007	5.935
0.007	6.246
0.008	5.883
0.008	6.755
0.009	6.597
0.009	6.606
0.010	7.468
0.010	6.589
0.011	6.309
0.011	7.063
0.012	6.933
0.012	6.788
0.013	6.797
0.013	6.630
0.014	6.713
0.014	6.848
0.015	6.805
0.015	7.213
0.016	7.037
0.016	7.019
0.016	7.011
0.017	7.054
0.018	7.160
0.018	7.151
0.019	7.249
0.019	7.385
0.020	7.694
0.020	7.231
0.021	7.413
0.021	7.770
0.022	6.848
0.022	6.933
0.023	6.907
0.023	6.655
0.024	6.655
0.024	6.713
0.025	6.763
0.025	7.089
0.026	7.046
0.026	6.890
0.027	7.002
0.027	7.675
0.028	6.622
0.028	6.680
0.029	6.606
0.029	6.899
0.030	6.942
0.030	6.549
0.031	6.630
0.031	7.204
0.032	6.890
0.032	6.738
0.033	7.665
0.033	7.533
0.034	7.285
0.034	6.959
0.035	6.873
0.035	7.011
0.036	7.276
0.036	7.169
0.037	6.907
0.037	6.805
0.038	6.831
0.038	7.054
0.039	7.169
0.039	6.916
0.040	6.573
0.040	6.873
0.041	7.107
0.041	7.063
0.042	7.072
0.042	6.959
0.043	6.916
0.043	7.072
0.044	7.125
0.044	6.797
0.045	6.839
0.045	6.772
0.046	6.647
0.046	6.638
0.047	6.293
0.047	6.340
0.048	6.993
0.048	6.788
0.049	6.968
0.049	7.524
0.050	7.543
0.050	7.646
0.051	6.797
0.051	6.524
0.052	7.002
0.052	6.831
0.053	6.184
0.053	6.388
0.054	6.428
0.054	6.524
0.055	6.388
0.055	7.037
0.056	6.865
0.056	7.019
0.057	6.985
0.057	6.822
0.058	6.565
0.058	6.882
0.059	7.313
0.059	6.755
0.060	6.907
0.060	6.597
0.061	6.647
0.061	6.839
0.062	6.404
0.062	6.638
0.063	6.672
0.063	6.630
0.064	6.680
0.064	6.822
0.065	6.688
0.065	7.037
0.066	6.968
0.066	6.873
0.067	6.797
0.067	7.468
0.068	7.019
0.068	7.098
0.069	6.763
0.069	6.713
0.070	6.581
0.070	6.460
0.071	6.713
0.071	6.622
0.072	6.301
0.072	6.630
0.073	6.309
0.073	6.428
0.073	7.151
0.074	6.890
0.075	6.788
0.075	6.606
0.076	6.688
0.076	6.565
0.077	6.822
0.077	6.839
0.078	6.746
0.078	6.890
0.079	6.907
0.079	6.831
0.080	6.738
0.080	6.814
0.081	6.856
0.081	6.428
0.082	6.655
0.082	6.890
0.083	6.508
0.083	6.882
0.084	6.831
0.084	6.412
0.085	6.848
0.085	6.916
0.086	6.933
0.086	6.822
0.087	6.890
0.087	7.054
0.088	7.019
0.088	7.178
0.089	7.703
0.089	7.276
0.090	6.468
0.090	7.413
0.091	6.788
0.091	6.573
0.092	6.524
0.092	6.606
0.093	6.500
0.093	6.985
0.094	6.428
0.094	6.573
0.095	6.516
0.095	6.831
0.096	6.916
0.096	6.985
0.097	6.856
0.097	6.950
0.098	7.240
0.098	6.848
0.099	6.573
0.099	6.540
0.100	6.301
0.100	6.985
0.101	6.985
0.101	6.688
0.102	6.890
0.102	6.696
0.103	6.223
0.103	6.500
0.104	6.372
0.104	6.223
0.105	6.672
0.105	7.019
0.106	6.968
0.106	6.805
0.107	6.993
0.107	6.524
0.108	6.746
0.108	7.054
0.109	6.557
0.109	6.959
0.110	7.187
0.110	6.797
0.111	7.019
0.111	6.873
0.112	6.630
0.112	6.177
0.113	6.805
0.113	6.848
0.114	7.321
0.114	7.028
0.115	6.950
0.115	6.848
0.116	6.993
0.116	6.780
0.117	6.680
0.117	6.959
0.118	6.755
0.118	7.054
0.119	6.797
0.119	6.721
0.120	6.540
0.120	6.412
0.121	5.890
0.121	6.822
0.122	6.630
0.122	6.412
0.123	6.047
0.123	6.200
0.124	6.285
0.124	6.484
0.125	6.589
0.125	6.565
0.126	6.380
0.126	6.557
0.127	7.019
0.127	6.484
0.128	6.557
0.128	6.663
0.128	7.002
0.129	7.195
0.130	7.063
0.130	6.933
0.131	7.204
0.131	6.899
0.132	6.246
0.132	6.484
0.133	6.476
0.133	6.100
0.134	6.614
0.134	6.460
0.135	6.500
0.135	6.589
0.136	6.663
0.136	6.428
0.137	6.655
0.137	6.436
0.138	6.696
0.138	6.713
0.139	6.772
0.139	6.309
0.140	6.797
0.140	6.993
0.141	6.814
0.141	6.968
0.142	6.873
0.142	7.515
0.143	7.178
0.143	7.231
0.144	7.249
0.144	6.890
0.145	7.063
0.145	7.231
0.146	6.950
0.146	6.959
0.147	6.890
0.147	6.899
0.148	6.772
0.148	6.814
0.149	5.715
0.149	6.968
0.150	6.985
0.150	6.325
0.151	6.277
0.151	6.696
0.152	7.054
0.152	6.890
0.153	7.063
0.153	7.267
0.154	6.696
0.154	7.258
0.155	6.882
0.155	6.589
0.156	6.372
0.156	6.317
0.157	6.647
0.157	6.262
0.158	6.444
0.158	6.630
0.159	6.372
0.159	6.721
0.160	6.573
0.160	6.630
0.161	6.468
0.161	6.436
0.162	6.270
0.162	6.755
0.163	6.873
0.163	6.270
0.164	6.285
0.164	5.972
0.165	6.428
0.165	6.317
0.166	6.325
0.166	5.890
0.167	5.824
0.167	6.055
0.168	5.229
0.168	5.766
0.169	5.730
0.169	5.979
0.170	5.942
0.170	5.780
0.171	6.428
0.171	6.460
0.172	6.484
0.172	6.380
0.173	6.309
0.173	6.622
0.174	6.524
0.174	6.412
0.175	6.131
0.175	6.428
0.176	7.125
0.176	6.396
0.177	6.372
0.177	6.508
0.178	6.404
0.178	6.364
0.179	6.293
0.179	6.508
0.180	6.573
0.180	6.814
0.181	7.089
0.181	6.950
0.182	6.805
0.182	7.107
0.183	7.431
0.183	6.557
0.184	6.839
0.184	6.907
0.185	6.746
0.185	6.508
0.186	6.713
0.186	6.738
0.187	6.822
0.187	6.890
0.188	6.985
0.188	6.746
0.189	6.622
0.189	6.788
0.190	7.195
0.190	7.571
0.191	7.848
0.191	6.738
0.192	7.450
0.192	6.565
0.193	6.950
0.193	6.738
0.194	6.890
0.194	6.899
0.195	6.557
0.195	6.713
0.196	7.116
