TIME	U1cal
0.000	7.151
0.001	6.907
0.001	7.098
0.002	7.169
0.002	7.151
0.003	7.169
0.003	7.431
0.004	7.116
0.004	6.907
0.005	7.187
0.005	6.721
0.006	7.089
0.006	7.116
0.007	7.258
0.007	7.098
0.008	7.204
0.008	7.276
0.009	7.665
0.009	7.331
0.010	7.213
0.010	7.169
0.011	7.116
0.011	7.169
0.012	7.413
0.012	6.950
0.013	7.459
0.013	7.936
0.014	6.976
0.014	7.054
0.015	7.258
0.015	7.267
0.016	7.222
0.016	6.831
0.016	7.063
0.017	6.848
0.018	7.222
0.018	7.240
0.019	7.160
0.019	7.213
0.020	7.037
0.020	7.267
0.021	7.169
0.021	7.116
0.022	6.672
0.022	7.107
0.023	7.081
0.023	7.063
0.024	6.968
0.024	7.231
0.025	7.072
0.025	7.331
0.026	7.358
0.026	7.404
0.027	7.116
0.027	7.054
0.028	7.367
0.028	7.125
0.029	7.037
0.029	7.125
0.030	7.072
0.030	7.413
0.031	7.169
0.031	7.468
0.032	7.321
0.032	7.125
0.033	7.276
0.033	7.331
0.034	6.622
0.034	6.277
0.035	6.557
0.035	6.647
0.036	6.508
0.036	7.054
0.037	7.037
0.037	6.959
0.038	6.890
0.038	7.028
0.039	7.213
0.039	7.505
0.040	6.882
0.040	6.822
0.041	7.072
0.041	7.125
0.042	6.899
0.042	7.037
0.043	7.002
0.043	6.916
0.044	7.151
0.044	7.187
0.045	7.125
0.045	7.037
0.046	7.151
0.046	7.151
0.047	6.638
0.047	7.213
0.048	7.809
0.048	7.222
0.049	7.313
0.049	7.313
0.050	7.267
0.050	7.440
0.051	7.125
0.051	6.597
0.052	7.081
0.052	7.142
0.053	6.933
0.053	11.259
0.054	7.063
0.054	7.231
0.055	6.873
0.055	7.125
0.056	7.285
0.056	6.968
0.057	7.394
0.057	8.519
0.058	7.240
0.058	7.204
0.059	7.046
0.059	7.169
0.060	6.959
0.060	6.549
0.061	7.258
0.061	6.428
0.062	7.063
0.062	7.285
0.063	7.081
0.063	7.222
0.064	7.204
0.064	7.187
0.065	7.151
0.065	7.249
0.066	7.267
0.066	7.204
0.067	7.240
0.067	7.285
0.068	7.151
0.068	7.505
0.069	7.213
0.069	7.160
0.070	7.321
0.070	7.054
0.071	6.721
0.071	6.950
0.072	7.125
0.072	7.037
0.073	7.063
0.073	6.055
0.073	6.933
0.074	6.428
0.075	7.213
0.075	7.011
0.076	6.942
0.076	7.107
0.077	7.151
0.077	7.019
0.078	6.831
0.078	6.638
0.079	6.899
0.079	6.968
0.080	7.063
0.080	7.160
0.081	7.222
0.081	7.321
0.082	6.899
0.082	7.367
0.083	7.116
0.083	6.985
0.084	6.993
0.084	6.814
0.085	6.890
0.085	7.231
0.086	6.814
0.086	7.608
0.087	7.178
0.087	7.151
0.088	6.565
0.088	7.116
0.089	7.169
0.089	7.285
0.090	7.098
0.090	6.848
0.091	7.178
0.091	7.646
0.092	7.187
0.092	7.294
0.093	7.046
0.093	7.394
0.094	7.761
0.094	7.178
0.095	7.204
0.095	7.267
0.096	6.549
0.096	7.151
0.097	7.125
0.097	6.873
0.098	6.968
0.098	6.814
0.099	7.394
0.099	7.732
0.100	7.222
0.100	7.107
0.101	7.618
0.101	7.321
0.102	7.385
0.102	7.385
0.103	7.046
0.103	7.222
0.104	7.858
