TIME	U1cal
0.000	7.240
0.001	6.839
0.001	6.993
0.002	6.131
0.002	7.046
0.003	6.738
0.003	6.340
0.004	6.468
0.004	6.581
0.005	6.680
0.005	7.178
0.006	6.332
0.006	6.301
0.007	6.460
0.007	6.565
0.008	6.630
0.008	6.460
0.009	6.388
0.009	6.581
0.010	5.972
0.010	6.696
0.011	6.696
0.011	6.848
0.012	7.222
0.012	6.899
0.013	7.187
0.013	6.985
0.014	6.805
0.014	6.412
0.015	6.524
0.015	8.843
0.016	7.125
0.016	7.125
0.016	7.019
0.017	7.267
0.018	7.422
0.018	6.848
0.019	6.017
0.019	6.655
0.020	6.856
0.020	6.746
0.021	6.524
0.021	6.680
0.022	6.968
0.022	6.822
0.023	6.788
0.023	6.340
0.024	6.597
0.024	6.573
0.025	6.638
0.025	6.797
0.026	7.002
0.026	6.364
0.027	6.805
0.027	6.755
0.028	7.142
0.028	7.019
0.029	7.072
0.029	7.011
0.030	7.002
0.030	7.160
0.031	7.028
0.031	6.839
0.032	7.580
0.032	6.663
0.033	6.968
0.033	6.976
0.034	6.942
0.034	6.788
0.035	6.882
0.035	7.054
0.036	6.589
0.036	6.293
0.037	6.452
0.037	6.630
0.038	6.822
0.038	6.404
0.039	6.540
0.039	6.755
0.040	6.239
0.040	6.100
0.041	6.412
0.041	7.028
0.042	6.614
0.042	7.002
0.043	7.294
0.043	6.968
0.044	7.349
0.044	6.696
0.045	6.492
0.045	6.372
0.046	6.309
0.046	6.805
0.047	6.549
0.047	6.524
0.048	6.597
0.048	6.755
0.049	7.142
0.049	6.364
0.050	6.647
0.050	6.436
0.051	6.614
0.051	6.388
0.052	6.372
0.052	6.950
0.053	6.581
0.053	6.309
0.054	6.696
0.054	6.942
0.055	7.089
0.055	8.583
0.056	6.721
0.056	7.267
0.057	6.372
0.057	6.713
0.058	6.680
0.058	6.492
0.059	6.805
0.059	7.599
0.060	6.985
0.060	7.151
0.061	7.046
0.061	6.788
0.062	6.549
0.062	6.672
0.063	6.805
0.063	6.713
0.064	6.606
0.064	6.839
0.065	6.822
0.065	7.089
0.066	7.187
0.066	6.848
0.067	7.125
0.067	6.154
0.068	6.309
0.068	6.839
0.069	6.655
0.069	6.856
0.070	6.805
0.070	7.694
0.071	6.597
0.071	6.839
0.072	6.688
0.072	6.309
0.073	6.239
0.073	6.933
0.073	6.549
0.074	6.420
0.075	6.460
0.075	6.077
0.076	6.396
0.076	6.100
0.077	6.388
0.077	6.325
0.078	6.460
0.078	6.788
0.079	6.763
0.079	6.597
0.080	6.614
0.080	6.077
0.081	6.581
0.081	6.540
0.082	6.805
0.082	6.696
0.083	6.301
0.083	7.459
0.084	7.028
0.084	7.028
0.085	6.746
0.085	7.468
0.086	6.721
0.086	6.146
0.087	6.755
0.087	6.763
0.088	6.549
0.088	6.380
0.089	6.848
0.089	6.500
0.090	6.309
0.090	6.254
0.091	6.285
0.091	6.332
0.092	6.476
0.092	6.508
0.093	6.420
0.093	6.223
0.094	6.606
0.094	6.976
0.095	7.019
0.095	6.865
0.096	7.742
0.096	6.763
0.097	6.907
0.097	7.054
0.098	6.822
0.098	7.249
0.099	7.019
0.099	6.002
0.100	7.054
0.100	6.763
0.101	6.565
0.101	6.856
0.102	6.890
0.102	6.622
0.103	6.420
0.103	6.772
0.104	6.468
0.104	6.293
0.105	6.950
0.105	6.549
0.106	6.231
0.106	6.581
0.107	7.011
0.107	7.089
0.108	6.814
0.108	7.258
0.109	7.790
0.109	7.249
0.110	6.746
0.110	7.213
0.111	7.125
0.111	7.028
0.112	6.882
0.112	6.933
0.113	7.946
0.113	7.011
0.114	6.680
0.114	6.647
0.115	6.581
0.115	5.861
0.116	6.763
0.116	6.484
0.117	6.508
0.117	6.680
0.118	6.890
0.118	6.161
0.119	6.200
0.119	6.614
0.120	6.356
0.120	6.500
0.121	6.154
0.121	6.420
0.122	6.270
0.122	6.738
0.123	6.009
0.123	6.797
0.124	6.557
0.124	6.780
0.125	6.738
0.125	7.580
0.126	6.647
0.126	7.267
0.127	6.565
0.127	6.508
0.128	6.746
0.128	6.524
0.128	6.372
0.129	6.746
0.130	6.606
0.130	6.622
0.131	6.688
0.131	6.177
0.132	6.325
0.132	5.972
0.133	6.093
0.133	6.285
0.134	6.184
0.134	6.436
0.135	6.516
0.135	6.688
0.136	6.622
0.136	6.763
0.137	6.573
0.137	6.581
0.138	7.349
0.138	7.665
0.139	6.356
0.139	6.262
0.140	6.780
0.140	6.755
0.141	6.705
0.141	6.805
0.142	6.138
0.142	6.177
0.143	6.622
0.143	6.123
0.144	6.372
0.144	6.721
0.145	6.805
0.145	6.524
0.146	6.277
0.146	6.223
0.147	6.285
0.147	6.396
0.148	6.452
0.148	6.622
0.149	5.905
0.149	6.396
0.150	6.696
0.150	6.436
0.151	6.721
0.151	6.508
0.152	6.468
0.152	6.452
0.153	6.500
0.153	6.581
0.154	7.204
0.154	6.763
0.155	6.404
0.155	6.581
0.156	6.452
0.156	6.907
0.157	7.072
0.157	6.500
0.158	5.912
0.158	6.540
0.159	6.138
0.159	6.436
0.160	6.581
0.160	6.123
0.161	5.839
0.161	6.207
0.162	6.814
0.162	6.814
0.163	6.630
0.163	6.705
0.164	6.839
0.164	6.254
0.165	6.131
0.165	5.780
0.166	6.340
0.166	6.655
0.167	6.192
0.167	6.146
0.168	5.651
0.168	6.070
0.169	6.309
0.169	6.788
0.170	7.011
0.170	6.805
0.171	7.089
0.171	6.993
0.172	6.942
0.172	7.063
0.173	7.169
0.173	6.763
0.174	6.814
0.174	6.581
0.175	6.460
0.175	6.047
0.176	7.063
0.176	7.404
0.177	7.790
0.177	7.019
0.178	7.125
0.178	7.054
0.179	7.675
0.179	7.459
0.180	6.831
0.180	7.019
0.181	7.098
0.181	6.412
0.182	6.814
0.182	6.856
0.183	7.195
0.183	6.856
0.184	6.907
0.184	6.805
0.185	6.581
0.185	7.011
0.186	7.267
0.186	6.738
0.187	6.755
0.187	6.131
0.188	6.340
0.188	6.364
0.189	6.788
0.189	6.772
0.190	6.890
0.190	7.019
0.191	6.814
0.191	6.325
0.192	7.213
0.192	7.178
0.193	6.622
0.193	6.933
0.194	7.089
0.194	6.780
0.195	6.942
0.195	5.957
0.196	7.107
0.196	6.831
0.197	6.814
0.197	6.516
0.198	6.959
0.198	6.763
0.199	6.589
0.199	6.663
0.200	6.797
0.200	6.950
0.201	6.468
0.201	6.814
0.202	6.882
0.202	6.476
0.203	7.349
0.203	7.028
0.204	6.215
0.204	6.293
0.205	6.412
0.205	5.883
0.206	6.192
0.206	6.540
0.207	6.138
0.207	6.404
0.208	7.385
0.208	7.285
0.209	6.831
0.209	6.993
0.210	6.565
0.210	6.317
0.211	6.317
0.211	6.614
0.212	6.372
0.212	6.396
0.213	6.540
0.213	6.968
0.214	6.873
0.214	6.890
0.215	6.985
0.215	7.496
0.216	6.500
0.216	7.213
0.217	6.524
0.217	6.738
0.218	6.492
0.218	6.805
0.219	6.597
0.219	7.054
0.220	6.848
0.220	6.436
0.221	6.332
0.221	6.262
0.222	6.492
0.222	6.788
0.223	6.293
0.223	6.500
0.224	6.705
0.224	6.622
0.225	6.993
0.225	7.054
0.226	6.993
0.226	6.865
0.227	6.797
0.227	6.672
0.228	6.581
0.228	6.663
0.229	6.672
0.229	6.655
0.230	6.890
0.230	7.098
0.231	6.968
0.231	7.431
0.232	7.063
0.232	7.276
0.233	7.037
0.233	7.258
0.234	6.899
0.234	6.839
0.235	6.696
0.235	6.713
0.236	6.325
0.236	6.606
0.237	6.772
0.237	6.721
0.238	6.805
0.238	6.614
0.239	6.565
0.239	6.831
0.240	6.822
0.240	6.573
0.241	6.614
0.241	7.054
0.242	6.890
0.242	7.098
0.243	6.705
0.243	6.614
0.244	6.680
0.244	6.500
0.245	6.524
0.245	6.039
0.246	6.916
0.246	6.688
0.247	6.630
0.247	6.907
0.248	6.614
0.248	6.822
0.249	6.805
0.249	6.907
0.250	7.081
0.250	6.738
0.251	6.123
0.251	6.630
0.252	6.364
0.252	6.484
0.252	6.597
0.253	6.597
0.254	6.755
0.254	6.933
0.255	7.313
0.255	8.551
0.256	6.317
0.256	7.204
0.257	6.959
0.257	6.899
0.258	6.882
0.258	6.805
0.259	6.476
0.259	6.916
0.260	8.197
0.260	6.161
0.261	6.873
0.261	7.002
0.262	6.024
0.262	6.721
0.263	5.883
0.263	6.524
0.264	6.380
0.264	6.154
0.265	6.721
0.265	7.213
0.266	7.037
0.266	7.790
0.267	7.267
0.267	6.882
0.268	6.680
0.268	7.116
0.269	6.985
0.269	6.865
0.270	7.524
0.270	7.276
0.271	7.222
0.271	6.805
0.272	6.647
0.272	6.638
0.273	6.301
0.273	5.979
0.274	5.912
0.274	6.508
0.275	6.484
0.275	6.309
0.275	6.293
0.276	6.589
0.277	6.797
0.277	6.404
0.278	6.492
0.278	6.476
0.279	7.160
0.279	7.011
0.280	6.452
0.280	6.516
0.281	7.019
0.281	7.313
0.282	7.431
0.282	7.169
0.282	7.231
0.283	7.028
0.284	7.404
0.284	7.195
0.285	6.950
0.285	6.713
0.286	6.688
0.286	6.890
0.287	6.822
0.287	6.655
0.288	6.663
0.288	6.822
0.289	6.606
0.289	6.524
0.290	6.763
0.290	6.755
0.291	6.396
0.291	6.638
0.292	6.873
0.292	6.916
0.293	6.492
0.293	6.899
0.294	6.822
0.294	6.890
0.295	6.705
0.295	6.468
0.296	7.422
0.296	6.093
0.297	6.565
0.297	6.606
0.298	5.861
0.298	6.540
0.299	5.927
0.299	5.552
0.300	6.239
0.300	5.524
0.301	6.285
0.301	6.146
0.302	6.115
0.302	6.420
0.303	6.476
0.303	6.993
0.304	7.231
0.304	7.011
0.305	7.028
0.305	6.831
0.306	6.663
0.306	6.460
0.307	6.557
0.307	6.565
0.308	6.950
0.308	7.011
0.309	6.959
0.309	6.916
0.310	6.420
0.310	7.125
0.311	7.195
0.311	7.089
0.312	7.169
0.312	6.916
0.313	6.839
0.313	7.231
0.314	7.089
0.314	6.738
0.315	6.246
0.315	5.788
0.316	6.146
0.316	5.912
0.317	6.285
0.317	6.356
0.318	6.508
0.318	6.516
0.319	6.638
0.319	6.959
0.320	6.721
0.320	6.524
0.321	6.581
0.321	6.713
0.322	6.822
0.322	6.663
0.323	6.630
0.323	6.436
