TIME	U1cal
0.000	7.440
0.001	7.637
0.001	7.231
0.002	7.240
0.002	7.169
0.003	7.665
0.003	7.002
0.004	7.037
0.004	7.072
0.005	7.107
0.005	7.081
0.006	7.054
0.006	7.258
0.007	6.890
0.007	6.916
0.008	7.142
0.008	7.142
0.009	7.011
0.009	7.151
0.010	6.797
0.010	7.116
0.011	7.413
0.011	7.063
0.012	7.213
0.012	7.046
0.013	7.107
0.013	7.422
0.014	6.805
0.014	7.589
0.015	7.376
0.015	7.213
0.016	7.160
0.016	6.933
0.016	7.222
0.017	7.002
0.018	7.046
0.018	7.213
0.019	7.019
0.019	7.303
0.020	6.959
0.020	6.848
0.021	7.028
0.021	7.285
0.022	7.231
0.022	7.089
0.023	6.848
0.023	7.303
0.024	6.899
0.024	7.267
0.025	7.098
0.025	7.240
0.026	7.054
0.026	7.608
0.027	7.169
0.027	6.516
0.028	7.213
0.028	7.011
0.029	7.358
0.029	7.195
0.030	6.772
0.030	6.630
0.031	6.047
0.031	6.993
0.032	7.046
0.032	7.431
0.033	7.054
0.033	7.608
0.034	6.468
0.034	8.035
0.035	7.054
0.035	7.072
0.036	7.178
0.036	8.075
0.037	6.772
0.037	6.524
0.038	6.589
0.038	7.524
0.039	7.151
0.039	6.468
0.040	7.722
0.040	7.081
0.041	6.788
0.041	7.213
0.042	7.028
0.042	7.160
0.043	7.231
0.043	7.116
0.044	7.468
0.044	6.950
0.045	6.950
0.045	7.178
0.046	7.331
0.046	7.072
0.047	6.839
0.047	7.213
0.048	7.459
0.048	7.151
0.049	7.187
0.049	7.125
0.050	7.589
0.050	7.107
0.051	6.933
0.051	8.095
0.052	6.865
0.052	7.385
0.053	7.046
0.053	7.169
0.054	7.331
0.054	7.431
0.055	7.169
0.055	7.151
0.056	7.294
0.056	7.703
0.057	7.046
0.057	7.054
0.058	6.581
0.058	6.663
0.059	6.993
0.059	7.046
0.060	7.313
0.060	7.011
0.061	6.805
0.061	6.805
0.062	6.805
0.062	7.151
0.063	6.890
0.063	7.151
0.064	6.873
0.064	7.089
0.065	7.151
0.065	7.107
0.066	7.204
0.066	7.331
0.067	7.125
0.067	6.655
0.068	7.204
0.068	7.116
0.069	7.072
0.069	6.452
0.070	7.081
0.070	7.125
0.071	7.089
0.071	7.063
0.072	7.107
0.072	6.565
0.073	7.011
0.073	7.313
0.073	7.098
0.074	7.222
0.075	6.899
0.075	7.178
0.076	7.107
0.076	7.169
0.077	7.063
0.077	6.814
0.078	7.125
0.078	7.187
0.079	7.376
0.079	7.204
0.080	7.072
