TIME	U1cal
0.000	7.063
0.001	6.763
0.001	6.484
0.002	6.476
0.002	6.705
0.003	6.380
0.003	6.597
0.004	7.367
0.004	6.805
0.005	6.412
0.005	6.215
0.006	6.223
0.006	6.301
0.007	5.744
0.007	5.942
0.008	5.831
0.008	5.890
0.009	5.883
0.009	6.184
0.010	6.680
0.010	6.755
0.011	6.655
0.011	6.557
0.012	7.002
0.012	6.340
0.013	6.508
0.013	6.301
0.014	6.404
0.014	7.063
0.015	6.404
0.015	6.301
0.016	6.270
0.016	6.468
0.016	6.246
0.017	6.452
0.018	6.200
0.018	6.959
0.019	6.780
0.019	6.856
0.020	6.713
0.020	5.979
0.021	6.428
0.021	7.046
0.022	6.436
0.022	6.705
0.023	6.848
0.023	6.647
0.024	6.154
0.024	6.270
0.025	5.861
0.025	6.215
0.026	6.638
0.026	6.581
0.027	6.890
0.027	6.614
0.028	6.484
0.028	7.011
0.029	6.738
0.029	7.116
0.030	6.581
0.030	7.321
0.031	7.002
0.031	6.085
0.032	7.028
0.032	6.882
0.033	7.231
0.033	7.142
0.034	7.367
0.034	7.867
0.035	6.746
0.035	6.899
0.036	6.412
0.036	7.028
0.037	6.968
0.037	7.349
0.038	6.100
0.038	6.672
0.039	6.907
0.039	6.856
0.040	6.262
0.040	6.763
0.041	6.108
0.041	6.317
0.042	6.540
0.042	6.436
0.043	6.763
0.043	6.805
0.044	6.277
0.044	6.746
0.045	6.388
0.045	6.332
0.046	6.277
0.046	6.822
0.047	6.856
0.047	6.476
0.048	6.404
0.048	6.192
0.049	6.231
0.049	6.123
0.050	6.557
0.050	6.614
0.051	6.597
0.051	6.492
0.052	6.606
0.052	6.123
0.053	6.540
0.053	7.580
0.054	6.916
0.054	7.627
0.055	6.070
0.055	6.317
0.056	6.115
0.056	6.055
0.057	6.192
0.057	6.239
0.058	6.200
0.058	6.492
0.059	6.396
0.059	6.581
0.060	6.647
0.060	6.589
0.061	6.215
0.061	6.115
0.062	6.093
0.062	6.597
0.063	6.680
0.063	5.994
0.064	6.738
0.064	7.037
0.065	7.178
0.065	6.755
0.066	6.436
0.066	6.822
0.067	6.589
0.067	6.713
0.068	6.557
0.068	7.240
0.069	6.696
0.069	6.277
0.070	7.125
0.070	6.942
0.071	8.166
0.071	6.942
0.072	7.222
0.072	6.822
0.073	6.746
0.073	5.890
0.073	6.223
0.074	6.356
0.075	6.452
0.075	6.508
0.076	6.622
0.076	6.262
0.077	6.002
0.077	6.317
0.078	6.356
0.078	6.396
0.079	6.565
0.079	6.772
0.080	6.239
0.080	6.516
0.081	6.680
0.081	6.239
0.082	6.364
0.082	5.920
0.083	5.972
0.083	6.839
0.084	6.655
0.084	6.597
0.085	6.309
0.085	6.672
0.086	7.394
0.086	7.151
0.087	6.814
0.087	7.063
0.088	6.713
0.088	6.805
0.089	6.672
0.089	6.630
0.090	6.721
0.090	6.436
0.091	7.321
0.091	6.890
0.092	7.151
0.092	6.713
0.093	6.721
0.093	6.772
0.094	7.063
0.094	6.839
0.095	7.089
0.095	6.436
