TIME	U1cal
0.000	7.505
0.001	7.358
0.001	6.597
0.002	7.496
0.002	7.125
0.003	7.037
0.003	7.450
0.004	7.450
0.004	7.054
0.005	7.081
0.005	7.037
0.006	6.916
0.006	6.890
0.007	7.404
0.007	7.468
0.008	7.285
0.008	7.303
0.009	7.732
0.009	7.285
0.010	7.413
0.010	7.285
0.011	7.258
0.011	7.276
0.012	6.772
0.012	7.285
0.013	7.204
0.013	7.770
0.014	7.276
0.014	7.285
0.015	7.267
0.015	7.450
0.016	7.151
0.016	6.492
0.016	7.450
0.017	7.303
0.018	7.169
0.018	7.637
0.019	7.358
0.019	7.571
0.020	7.231
0.020	7.367
0.021	6.814
0.021	7.599
0.022	7.496
0.022	7.313
0.023	7.543
0.023	7.169
0.024	7.240
0.024	7.249
0.025	7.267
0.025	7.331
0.026	6.805
0.026	7.249
0.027	7.142
0.027	6.976
0.028	7.063
0.028	6.663
0.029	7.376
0.029	7.413
0.030	7.571
0.030	7.142
0.031	7.496
0.031	7.267
0.032	6.968
0.032	7.258
0.033	6.746
0.033	7.204
0.034	7.081
0.034	7.321
0.035	7.496
0.035	7.178
0.036	7.285
0.036	7.431
0.037	7.249
0.037	7.367
0.038	7.285
0.038	7.222
0.039	8.025
0.039	7.440
0.040	7.477
0.040	7.477
0.041	7.468
0.041	7.098
0.042	7.459
0.042	7.358
0.043	7.515
0.043	6.688
0.044	7.267
0.044	7.249
0.045	7.249
0.045	8.744
0.046	7.294
0.046	6.873
0.047	7.646
0.047	7.294
0.048	6.805
0.048	7.487
0.049	7.799
0.049	7.713
0.050	7.627
0.050	7.222
0.051	7.276
0.051	7.276
0.052	7.249
0.052	6.985
0.053	7.303
0.053	7.160
0.054	7.367
0.054	7.440
0.055	7.098
0.055	7.367
0.056	6.814
0.056	7.331
0.057	7.431
0.057	7.213
0.058	7.303
0.058	7.313
0.059	7.703
0.059	7.213
0.060	7.125
0.060	7.887
0.061	8.035
0.061	7.367
0.062	7.258
0.062	7.249
0.063	7.231
0.063	7.422
0.064	7.169
0.064	7.276
0.065	7.303
0.065	7.321
0.066	7.627
0.066	7.276
0.067	7.178
0.067	6.780
0.068	7.072
0.068	7.376
0.069	6.993
0.069	7.331
0.070	6.688
0.070	7.294
0.071	7.394
0.071	7.656
0.072	7.276
0.072	7.249
0.073	7.258
0.073	7.543
0.073	7.313
0.074	7.285
0.075	7.213
0.075	7.107
0.076	8.176
0.076	7.349
0.077	7.240
0.077	7.195
0.078	7.204
0.078	6.856
0.079	7.204
0.079	7.285
0.080	7.468
0.080	7.694
0.081	8.258
0.081	7.404
0.082	7.151
0.082	7.187
0.083	6.950
0.083	7.178
0.084	7.294
0.084	7.240
0.085	7.187
0.085	7.116
0.086	7.125
0.086	7.231
0.087	6.942
0.087	6.814
0.088	6.688
0.088	7.276
0.089	7.178
0.089	7.829
0.090	7.160
0.090	6.688
0.091	7.258
0.091	7.394
0.092	7.313
0.092	7.267
0.093	7.231
0.093	7.258
0.094	7.313
0.094	7.240
0.095	6.968
0.095	9.591
0.096	7.376
0.096	7.656
0.097	7.276
0.097	7.258
0.098	7.608
0.098	7.848
0.099	6.340
0.099	6.713
0.100	7.770
0.100	6.942
0.101	7.249
0.101	7.037
0.102	7.267
0.102	7.303
0.103	7.160
0.103	7.790
0.104	7.267
0.104	7.276
0.105	7.267
0.105	7.178
0.106	7.258
0.106	7.358
0.107	7.240
0.107	7.240
0.108	7.376
0.108	6.705
0.109	7.011
0.109	7.213
0.110	7.249
0.110	7.116
0.111	7.178
0.111	7.267
0.112	7.213
0.112	7.394
0.113	7.358
0.113	7.313
0.114	7.258
0.114	7.313
0.115	7.313
0.115	7.276
0.116	7.063
0.116	7.276
0.117	8.466
0.117	7.394
0.118	7.276
0.118	7.394
0.119	7.116
0.119	6.805
0.120	7.285
0.120	7.294
0.121	7.440
0.121	7.331
0.122	7.358
0.122	7.142
0.123	6.950
0.123	7.116
0.124	7.580
0.124	7.331
0.125	7.589
0.125	7.178
0.126	7.713
0.126	7.313
0.127	7.249
0.127	7.249
0.128	7.240
0.128	7.204
0.128	7.580
0.129	7.258
0.130	7.160
0.130	7.819
0.131	7.394
0.131	7.222
0.132	7.790
0.132	7.267
0.133	7.385
0.133	7.054
0.134	7.178
0.134	7.240
0.135	7.249
0.135	7.285
0.136	7.313
0.136	6.614
0.137	7.413
0.137	7.285
0.138	8.015
0.138	7.367
0.139	7.376
0.139	7.169
0.140	6.688
0.140	6.968
0.141	7.002
0.141	7.468
0.142	7.986
0.142	7.404
0.143	7.276
0.143	7.376
0.144	7.249
0.144	7.258
0.145	7.440
0.145	7.187
0.146	7.404
0.146	7.394
0.147	7.054
0.147	7.394
0.148	7.222
0.148	7.394
0.149	7.321
0.149	7.790
0.150	7.675
0.150	7.054
0.151	6.688
0.151	7.231
0.152	7.222
0.152	7.267
0.153	7.431
0.153	7.276
0.154	7.258
0.154	7.276
0.155	7.533
0.155	7.358
0.156	8.799
0.156	7.376
0.157	7.321
0.157	7.358
0.158	7.367
0.158	7.204
0.159	7.258
0.159	7.285
0.160	8.508
0.160	7.151
0.161	7.313
0.161	7.358
0.162	7.321
0.162	7.608
0.163	8.197
0.163	7.116
0.164	7.459
0.164	7.404
0.165	7.376
0.165	7.258
0.166	7.385
0.166	7.349
0.167	7.956
0.167	7.258
0.168	6.865
0.168	7.367
0.169	7.285
0.169	7.258
0.170	7.533
0.170	7.394
0.171	7.072
0.171	6.755
0.172	7.213
0.172	7.240
0.173	7.195
0.173	7.098
0.174	7.431
0.174	7.394
0.175	7.222
0.175	7.046
0.176	7.187
0.176	7.294
0.177	7.722
0.177	7.187
0.178	7.011
0.178	7.404
0.179	6.404
0.179	7.385
0.180	7.213
0.180	7.431
0.181	7.142
0.181	7.258
0.182	7.349
0.182	7.125
0.183	7.142
0.183	7.285
0.184	7.142
0.184	7.294
0.185	7.178
0.185	7.404
0.186	7.675
0.186	7.313
0.187	6.839
0.187	7.303
0.188	7.267
0.188	7.533
0.189	7.376
0.189	7.222
0.190	7.063
0.190	7.267
0.191	7.267
0.191	7.142
0.192	8.361
0.192	7.331
0.193	7.358
0.193	7.608
0.194	6.933
0.194	7.160
0.195	7.321
0.195	7.240
0.196	7.028
0.196	7.187
0.197	7.385
0.197	7.422
0.198	7.385
0.198	6.933
0.199	7.722
0.199	7.422
0.200	7.222
0.200	8.330
0.201	7.187
0.201	7.376
0.202	7.285
0.202	7.394
0.203	7.249
0.203	7.331
0.204	7.331
0.204	7.349
0.205	7.294
0.205	7.276
0.206	7.580
0.206	7.367
0.207	6.814
0.207	7.376
0.208	7.294
0.208	7.222
0.209	8.075
0.209	7.459
0.210	7.321
0.210	7.169
0.211	7.258
0.211	7.533
0.212	7.376
0.212	7.249
0.213	7.385
0.213	7.249
0.214	7.459
0.214	7.321
0.215	7.187
0.215	7.178
0.216	7.294
0.216	6.680
0.217	8.279
0.217	7.249
0.218	7.313
0.218	7.204
0.219	7.240
0.219	6.630
0.220	6.993
0.220	7.002
0.221	7.524
0.221	7.258
0.222	7.358
0.222	7.524
0.223	7.231
0.223	7.349
0.224	7.703
0.224	7.313
0.225	7.450
0.225	7.213
0.226	7.258
0.226	7.204
0.227	7.976
0.227	6.968
0.228	7.440
0.228	7.258
0.229	7.285
0.229	7.599
0.230	7.358
0.230	7.742
0.231	7.376
0.231	7.349
0.232	7.019
0.232	7.169
0.233	7.258
0.233	7.258
0.234	7.385
0.234	7.637
0.235	7.515
0.235	7.571
0.236	7.505
0.236	7.054
0.237	7.054
0.237	7.303
0.238	7.799
0.238	7.331
0.239	7.294
0.239	7.413
0.240	7.431
0.240	7.313
0.241	7.496
0.241	7.187
0.242	7.231
0.242	6.738
0.243	7.037
0.243	7.524
0.244	7.231
0.244	7.349
0.245	7.187
0.245	7.240
0.246	7.331
0.246	7.404
0.247	7.450
0.247	6.663
0.248	6.630
0.248	7.394
0.249	7.742
0.249	7.195
0.250	7.258
0.250	7.331
0.251	7.917
0.251	7.160
0.252	7.160
0.252	7.349
0.252	7.178
0.253	7.313
0.254	7.580
0.254	7.063
0.255	7.496
0.255	6.950
0.256	8.136
0.256	7.394
0.257	6.899
0.257	7.213
0.258	7.267
0.258	7.160
0.259	7.151
0.259	7.349
0.260	7.907
0.260	7.468
0.261	7.599
0.261	7.848
0.262	7.178
0.262	7.349
0.263	7.543
0.263	7.413
0.264	7.394
0.264	7.440
0.265	7.204
0.265	7.524
0.266	6.848
0.266	7.116
0.267	7.089
0.267	7.037
0.268	7.385
0.268	7.151
0.269	7.385
0.269	7.413
0.270	7.321
0.270	7.385
0.271	6.950
0.271	7.285
0.272	7.231
0.272	7.285
0.273	7.431
0.273	7.258
0.274	7.107
0.274	7.294
0.275	7.761
0.275	7.627
0.275	7.063
0.276	7.267
0.277	7.413
0.277	7.321
0.278	7.349
0.278	7.240
0.279	7.258
0.279	7.608
0.280	7.440
0.280	7.267
0.281	6.325
0.281	7.431
0.282	7.331
0.282	7.331
0.282	7.313
0.283	7.054
0.284	7.276
0.284	7.321
0.285	7.276
0.285	7.713
0.286	6.805
0.286	7.276
0.287	7.331
0.287	7.107
0.288	7.946
0.288	7.222
0.289	7.054
0.289	6.882
0.290	7.276
0.290	7.240
0.291	7.231
0.291	7.019
0.292	7.459
0.292	6.993
0.293	7.524
0.293	7.684
0.294	7.367
0.294	7.037
0.295	7.249
0.295	7.422
0.296	7.459
0.296	6.492
0.297	7.240
0.297	6.557
0.298	7.313
0.298	7.037
0.299	7.533
0.299	7.240
0.300	8.105
0.300	7.487
0.301	7.349
0.301	7.258
0.302	6.516
0.302	7.313
0.303	7.313
0.303	7.240
0.304	7.656
0.304	7.294
0.305	7.294
0.305	7.303
0.306	7.515
0.306	7.376
0.307	7.313
0.307	7.608
0.308	7.321
0.308	7.276
0.309	7.267
0.309	7.496
0.310	7.394
0.310	7.313
0.311	7.313
0.311	7.267
0.312	7.790
0.312	7.431
0.313	7.303
0.313	7.151
0.314	7.240
0.314	7.294
0.315	7.285
0.315	6.985
0.316	7.385
0.316	7.160
0.317	7.258
0.317	7.258
0.318	7.809
0.318	7.838
0.319	7.589
0.319	7.046
0.320	7.926
0.320	8.035
0.321	7.063
0.321	7.116
0.322	7.665
0.322	7.858
0.323	7.907
0.323	7.713
0.324	7.178
0.324	7.331
0.325	7.276
0.325	7.089
0.326	7.142
0.326	7.331
0.327	7.240
0.327	7.867
0.328	7.440
0.328	7.385
0.329	8.095
0.329	7.240
0.330	7.231
0.330	7.367
0.331	7.285
0.331	7.267
0.332	6.484
0.332	7.376
0.333	7.404
0.333	6.942
0.334	7.276
0.334	7.285
0.335	7.524
0.335	8.799
0.336	7.107
0.336	7.063
0.337	6.524
0.337	7.313
0.338	6.873
0.338	7.608
0.339	7.349
0.339	7.285
0.340	7.313
0.340	7.367
0.341	7.276
0.341	7.358
0.342	7.450
0.342	7.790
0.343	8.025
0.343	7.331
0.344	7.276
0.344	7.367
0.345	6.907
0.345	7.608
0.346	7.072
0.346	7.376
0.347	7.713
0.347	7.081
0.348	7.608
0.348	7.440
0.349	7.996
0.349	7.213
0.350	7.331
0.350	7.413
0.351	6.672
0.351	7.376
0.352	7.321
0.352	7.313
0.353	6.916
0.353	7.394
0.354	7.098
0.354	7.313
0.355	7.240
0.355	7.770
0.356	7.249
0.356	7.515
0.357	7.081
0.357	7.276
0.358	7.637
0.358	7.751
0.359	7.231
0.359	7.240
0.360	6.763
0.360	7.321
0.361	7.646
0.361	7.385
0.362	7.294
0.362	6.968
0.363	7.160
0.363	7.887
0.364	7.809
0.364	7.376
0.365	7.285
0.365	8.551
0.366	7.477
0.366	7.358
0.367	7.213
0.367	7.313
0.368	7.331
0.368	7.204
0.369	7.376
0.369	7.331
0.370	7.213
0.370	6.622
0.371	7.285
0.371	7.303
0.372	7.231
0.372	6.933
0.373	7.089
0.373	7.321
0.374	7.231
0.374	7.231
0.375	6.899
0.375	7.404
0.376	7.376
0.376	7.313
0.377	7.276
0.377	7.313
0.378	6.500
0.378	7.376
0.379	8.403
0.379	7.072
0.380	6.452
0.380	7.477
0.381	8.166
0.381	7.258
0.382	7.267
0.382	6.557
0.383	7.637
0.383	7.819
0.384	7.142
0.384	7.231
0.385	7.213
0.385	7.028
0.386	7.267
0.386	7.267
0.387	7.543
0.387	7.195
0.388	7.195
0.388	7.413
0.389	7.267
0.389	7.195
0.390	7.258
0.390	6.780
0.391	7.285
0.391	7.394
0.392	7.422
0.392	7.213
0.393	7.160
0.393	7.187
0.394	7.151
0.394	7.222
0.395	7.656
0.395	7.258
0.396	7.358
0.396	7.178
0.397	8.227
0.397	8.207
0.398	6.772
0.398	7.294
0.399	7.267
0.399	7.533
0.400	7.294
0.400	7.394
0.401	7.285
0.401	7.829
0.402	7.187
0.402	7.331
0.403	7.098
0.403	7.515
0.404	7.107
0.404	7.331
0.405	7.321
0.405	7.063
0.406	7.385
0.406	6.950
