TIME	U1cal
0.000	7.037
0.001	7.404
0.001	7.404
0.002	7.011
0.002	7.107
0.003	6.968
0.003	7.267
0.004	7.204
0.004	6.788
0.005	7.116
0.005	6.985
0.006	7.187
0.006	7.213
0.007	7.178
0.007	7.313
0.008	6.899
0.008	7.487
0.009	7.116
0.009	7.169
0.010	7.151
0.010	7.285
0.011	7.240
0.011	7.169
0.012	7.213
0.012	7.276
0.013	7.376
0.013	7.011
0.014	7.125
0.014	7.496
0.015	7.160
0.015	6.713
0.016	7.160
0.016	7.116
0.016	7.187
0.017	7.098
0.018	7.249
0.018	6.933
0.019	7.204
0.019	7.037
0.020	7.276
0.020	7.276
0.021	7.204
0.021	7.011
0.022	7.431
0.022	7.072
0.023	7.222
0.023	7.770
0.024	7.646
0.024	7.258
0.025	7.098
0.025	7.098
0.026	7.468
0.026	7.231
0.027	7.098
0.027	6.839
0.028	7.608
0.028	7.063
0.029	7.258
0.029	7.358
0.030	7.019
0.030	7.376
0.031	7.187
0.031	7.151
0.032	7.887
0.032	7.450
0.033	7.063
0.033	7.267
0.034	6.856
0.034	7.331
0.035	7.431
0.035	7.054
0.036	7.249
0.036	7.002
0.037	7.222
0.037	7.160
0.038	6.746
0.038	7.285
0.039	7.125
0.039	7.761
0.040	7.213
0.040	7.107
0.041	7.116
0.041	6.848
0.042	7.037
0.042	7.011
0.043	7.294
0.043	6.993
0.044	7.240
0.044	7.098
0.045	7.178
0.045	6.993
0.046	7.187
0.046	7.222
0.047	7.213
0.047	7.098
0.048	6.933
0.048	7.422
0.049	6.597
0.049	7.178
0.050	7.477
0.050	6.916
0.051	7.151
0.051	6.882
0.052	7.187
0.052	7.037
0.053	7.646
0.053	6.500
0.054	7.072
0.054	6.985
0.055	7.125
0.055	6.865
0.056	7.222
0.056	6.968
0.057	7.213
0.057	7.169
0.058	7.533
0.058	7.151
0.059	7.285
0.059	7.367
0.060	7.496
0.060	7.204
0.061	7.160
0.061	7.151
0.062	6.933
0.062	7.450
0.063	7.267
0.063	7.002
0.064	7.589
0.064	7.187
0.065	7.770
0.065	7.524
0.066	7.561
0.066	7.169
0.067	7.321
0.067	6.968
0.068	6.985
