TIME	U1cal
0.000	6.856
0.001	6.468
0.001	6.663
0.002	6.638
0.002	6.647
0.003	6.848
0.003	6.492
0.004	7.081
0.004	7.222
0.005	7.477
0.005	6.873
0.006	6.822
0.006	7.098
0.007	6.985
0.007	7.637
0.008	6.738
0.008	6.516
0.009	6.672
0.009	6.882
0.010	6.077
0.010	6.688
0.011	6.713
0.011	6.882
0.012	6.492
0.012	7.646
0.013	6.565
0.013	6.839
0.014	6.755
0.014	6.814
0.015	6.899
0.015	6.672
0.016	6.976
0.016	6.309
0.016	6.772
0.017	6.663
0.018	6.831
0.018	6.856
0.019	7.028
0.019	6.907
0.020	6.705
0.020	6.738
0.021	6.873
0.021	6.444
0.022	6.492
0.022	6.721
0.023	6.436
0.023	6.557
0.024	6.396
0.024	6.705
0.025	6.380
0.025	6.032
0.026	6.161
0.026	6.822
0.027	6.721
0.027	6.882
0.028	6.581
0.028	6.356
0.029	6.573
0.029	6.420
0.030	6.907
0.030	6.848
0.031	6.959
0.031	7.037
0.032	6.950
0.032	6.890
0.033	7.028
0.033	6.797
0.034	7.098
0.034	6.968
0.035	7.019
0.035	7.089
0.036	6.721
0.036	7.450
0.037	6.882
0.037	5.912
0.038	6.508
0.038	6.597
0.039	6.325
0.039	6.890
0.040	6.882
0.040	6.412
0.041	6.388
0.041	6.524
0.042	6.516
0.042	6.285
0.043	6.093
0.043	6.184
0.044	6.108
0.044	6.085
0.045	6.123
0.045	6.146
0.046	6.223
0.046	6.062
0.047	6.115
0.047	5.942
0.048	6.597
0.048	7.098
0.049	6.696
0.049	6.420
0.050	6.270
0.050	6.325
0.051	6.565
0.051	6.356
0.052	6.508
0.052	6.047
0.053	6.388
0.053	6.138
0.054	6.444
0.054	6.325
0.055	6.146
0.055	6.070
0.056	6.746
0.056	6.223
0.057	6.412
0.057	6.573
0.058	6.277
0.058	6.231
0.059	6.231
0.059	6.655
0.060	5.831
0.060	5.759
0.061	5.927
0.061	5.875
0.062	6.024
0.062	6.161
0.063	6.154
0.063	5.651
0.064	5.912
0.064	6.070
0.065	5.868
0.065	5.868
0.066	5.788
0.066	5.730
0.067	6.277
0.067	6.239
0.068	6.039
0.068	6.085
0.069	6.428
0.069	7.037
0.070	6.848
0.070	6.540
0.071	6.047
0.071	6.223
0.072	6.200
0.072	6.356
0.073	6.380
0.073	6.444
0.073	6.933
0.074	6.293
0.075	6.325
0.075	6.364
0.076	6.085
0.076	5.715
0.077	6.131
0.077	6.500
0.078	7.107
0.078	6.017
0.079	6.805
0.079	7.533
0.080	6.293
0.080	6.484
0.081	6.933
0.081	6.557
0.082	6.589
0.082	6.380
0.083	6.420
0.083	6.277
0.084	6.246
0.084	6.738
0.085	7.002
0.085	6.831
0.086	6.680
0.086	6.680
0.087	6.738
0.087	6.890
0.088	6.805
0.088	6.404
0.089	5.810
0.089	6.873
0.090	7.294
0.090	7.125
0.091	7.046
0.091	6.899
0.092	6.663
0.092	6.581
0.093	6.890
0.093	6.985
0.094	7.037
0.094	6.788
0.095	6.468
0.095	6.301
0.096	6.882
0.096	6.655
0.097	6.573
0.097	7.450
0.098	7.450
0.098	6.688
0.099	6.839
0.099	6.713
0.100	6.565
0.100	6.332
0.101	6.262
0.101	6.396
0.102	6.340
0.102	6.428
0.103	6.763
0.103	6.839
0.104	7.580
0.104	6.856
0.105	6.254
0.105	6.942
0.106	6.814
0.106	6.959
0.107	7.098
0.107	6.873
0.108	7.505
0.108	6.680
0.109	6.848
0.109	6.444
0.110	6.468
0.110	6.597
0.111	7.178
0.111	7.063
0.112	7.107
0.112	7.028
0.113	7.028
0.113	6.663
0.114	7.072
0.114	6.968
0.115	6.277
0.115	7.098
0.116	7.046
0.116	7.054
0.117	7.011
0.117	7.151
0.118	7.331
0.118	7.213
0.119	7.116
0.119	6.839
0.120	6.738
0.120	6.738
0.121	6.396
0.121	6.524
0.122	6.705
0.122	6.614
0.123	6.200
0.123	6.285
0.124	6.192
0.124	6.444
0.125	6.356
0.125	6.317
0.126	6.231
0.126	6.420
0.127	6.077
0.127	5.773
0.128	5.559
0.128	5.802
0.128	6.396
0.129	6.484
0.130	6.468
0.130	6.524
0.131	6.696
0.131	6.721
0.132	6.277
0.132	6.831
0.133	6.436
0.133	5.965
0.134	6.420
