TIME	U1cal
0.199	7.125
0.200	7.385
0.200	7.608
0.201	7.431
0.201	6.873
0.202	6.780
0.202	6.959
0.203	7.125
0.203	7.267
0.204	7.098
0.204	7.046
0.205	7.249
0.205	6.890
0.206	6.993
0.206	7.107
0.207	7.107
0.207	7.028
0.208	7.107
0.208	6.968
0.209	7.142
0.209	7.222
0.210	7.151
0.210	7.019
0.211	7.151
0.211	7.072
0.212	7.089
0.212	7.046
0.213	7.107
0.213	7.037
0.214	7.151
0.214	6.993
0.215	7.142
0.215	7.028
0.216	7.249
0.216	7.249
0.217	7.267
0.217	7.169
0.218	6.713
0.218	7.303
0.219	7.019
0.219	7.608
0.220	6.822
0.220	7.533
0.221	7.867
0.221	7.848
0.222	7.125
0.222	7.204
0.223	7.098
0.223	7.037
0.224	7.019
0.224	7.072
0.225	7.187
0.225	7.107
0.226	6.890
0.226	7.054
0.227	7.204
0.227	6.976
0.228	7.107
0.228	7.054
0.229	7.240
0.229	7.580
0.230	7.063
0.230	6.630
0.231	7.169
0.231	7.515
0.232	6.814
0.232	7.107
0.233	7.169
0.233	7.107
0.234	6.655
0.234	6.865
0.235	7.240
0.235	7.019
0.236	7.142
0.236	7.897
0.237	7.098
0.237	6.814
0.238	7.240
0.238	6.500
0.239	7.002
0.239	7.213
0.240	6.890
0.240	7.160
0.241	7.072
0.241	6.882
0.242	7.160
0.242	7.116
0.243	7.204
0.243	7.222
0.244	7.002
0.244	6.907
0.245	7.169
0.245	6.332
0.246	7.276
0.246	7.081
0.247	7.019
0.247	7.037
0.248	7.142
0.248	7.002
0.249	6.968
0.249	7.098
0.250	7.072
0.250	7.313
0.251	6.959
0.251	7.142
0.252	7.450
0.252	7.116
0.252	7.054
0.253	7.294
0.254	7.249
0.254	7.358
0.255	6.780
0.255	7.195
0.256	6.890
0.256	6.890
0.257	6.882
0.257	7.240
0.258	6.606
0.258	7.178
0.259	7.072
0.259	6.557
0.260	8.455
0.260	7.267
0.261	6.573
0.261	7.543
0.262	7.450
0.262	7.468
0.263	7.019
0.263	7.116
0.264	7.046
0.264	7.063
0.265	7.028
0.265	7.116
0.266	7.046
0.266	7.450
0.267	6.805
0.267	7.313
0.268	7.195
0.268	7.313
0.269	7.505
0.269	6.959
0.270	6.713
0.270	7.089
0.271	7.195
0.271	7.125
0.272	7.072
0.272	7.054
0.273	7.187
0.273	7.376
0.274	7.037
0.274	7.258
0.275	7.002
0.275	7.054
0.275	6.655
0.276	7.063
0.277	7.019
0.277	6.755
0.278	7.877
0.278	6.772
0.279	6.950
0.279	6.672
0.280	7.627
0.280	6.565
0.281	7.142
0.281	7.195
0.282	7.169
0.282	7.098
0.282	7.072
0.283	7.222
0.284	7.294
0.284	7.732
0.285	7.160
0.285	7.125
0.286	7.187
0.286	7.713
0.287	7.331
0.287	7.107
0.288	7.404
0.288	6.968
0.289	7.054
0.289	7.169
0.290	6.985
0.290	7.125
0.291	7.125
0.291	7.231
0.292	7.358
0.292	7.459
0.293	7.160
0.293	7.213
0.294	7.142
0.294	7.543
0.295	7.240
0.295	7.116
0.296	7.187
0.296	7.222
0.297	7.116
0.297	7.169
0.298	6.873
0.298	6.388
0.299	6.916
0.299	7.116
0.300	7.917
0.300	7.081
0.301	7.770
0.301	6.822
0.302	7.160
0.302	7.349
0.303	7.054
0.303	7.285
0.304	7.303
0.304	6.993
0.305	6.890
0.305	6.899
0.306	7.599
0.306	7.037
0.307	7.249
0.307	7.222
0.308	7.675
0.308	7.098
0.309	7.151
0.309	7.178
0.310	7.231
0.310	7.125
0.311	7.142
0.311	7.160
0.312	7.195
0.312	7.151
0.313	7.169
0.313	7.046
0.314	7.063
0.314	7.742
0.315	7.107
0.315	7.011
0.316	7.240
0.316	7.240
0.317	6.696
0.317	7.169
0.318	8.207
0.318	7.089
0.319	7.321
0.319	7.160
0.320	6.797
0.320	7.054
0.321	7.054
0.321	7.063
0.322	6.856
0.322	7.258
0.323	7.037
0.323	7.151
0.324	7.187
0.324	7.125
0.325	7.742
0.325	7.011
0.326	7.107
0.326	6.597
0.327	7.376
0.327	7.151
0.328	6.959
0.328	7.072
0.329	7.098
0.329	7.160
0.330	7.169
0.330	7.285
0.331	6.755
0.331	7.037
0.332	7.151
0.332	7.098
0.333	7.160
0.333	7.195
0.334	6.814
0.334	7.125
0.335	7.240
0.335	7.858
0.336	7.072
0.336	7.072
0.337	7.258
0.337	6.993
0.338	7.028
0.338	7.571
0.339	7.019
0.339	7.002
0.340	7.151
0.340	6.959
0.341	6.797
0.341	7.046
0.342	7.081
0.342	7.089
0.343	7.125
0.343	7.002
0.344	6.696
0.344	6.873
0.345	7.222
0.345	7.178
0.346	6.705
0.346	6.647
0.347	7.385
0.347	6.916
0.348	7.063
0.348	7.459
0.349	7.608
0.349	7.098
0.350	7.046
0.350	7.072
0.351	6.950
0.351	7.054
0.352	6.780
0.352	6.993
0.353	7.019
0.353	7.204
0.354	7.081
0.354	6.933
0.355	7.107
0.355	7.072
0.356	7.829
0.356	6.325
0.357	6.780
0.357	7.011
0.358	7.142
0.358	7.231
0.359	6.856
0.359	6.797
0.360	6.508
0.360	7.054
0.361	6.581
0.361	7.178
0.362	7.072
0.362	7.046
0.363	7.028
0.363	7.072
0.364	7.063
0.364	6.672
0.365	6.993
0.365	6.993
0.366	7.125
0.366	7.169
0.367	6.959
0.367	6.959
0.368	7.072
0.368	7.054
0.369	7.011
0.369	6.647
0.370	7.240
0.370	6.976
0.371	7.028
0.371	6.647
0.372	7.116
0.372	7.089
0.373	6.959
0.373	7.125
0.374	7.011
0.374	7.178
0.375	7.028
0.375	6.805
0.376	6.839
0.376	7.187
0.377	7.385
0.377	7.028
0.378	7.285
0.378	7.367
0.379	7.046
0.379	7.046
0.380	7.019
0.380	7.063
0.381	7.160
0.381	7.160
0.382	7.063
0.382	7.046
0.383	7.422
0.383	7.107
0.384	7.125
0.384	7.054
0.385	7.063
0.385	6.907
0.386	7.751
0.386	6.557
0.387	7.089
0.387	7.160
0.388	7.160
0.388	7.037
0.389	7.107
0.389	7.169
0.390	6.508
0.390	7.713
0.391	6.696
0.391	7.037
0.392	7.125
0.392	7.072
0.393	7.028
0.393	7.054
0.394	6.993
0.394	6.873
0.395	6.647
0.395	7.665
0.396	7.732
0.396	6.500
0.397	7.063
0.397	6.976
0.398	8.116
0.398	7.002
0.399	7.046
0.399	7.125
0.400	7.703
0.400	7.089
0.401	7.267
0.401	7.285
0.402	6.968
0.402	7.142
0.403	6.968
0.403	7.125
0.404	7.011
0.404	7.858
0.405	7.151
0.405	7.063
0.406	7.125
0.406	7.063
0.407	7.213
0.407	7.187
0.408	7.313
0.408	7.019
0.409	7.468
0.409	7.125
0.410	7.011
0.410	7.107
0.411	7.431
0.411	7.054
0.412	7.019
0.412	7.019
0.413	7.011
0.413	7.098
0.414	7.011
0.414	7.116
0.415	7.046
0.415	6.933
0.416	7.385
0.416	6.882
0.417	7.037
0.417	7.385
0.418	7.019
0.418	8.045
0.419	7.107
0.419	7.187
0.420	7.637
0.420	7.019
0.421	7.019
0.421	7.413
0.422	7.063
0.422	7.125
0.423	6.942
0.423	7.019
0.424	7.072
0.424	7.089
0.425	6.822
0.425	7.151
0.426	7.142
0.426	7.028
0.427	7.151
0.427	6.614
0.428	7.002
0.428	7.054
0.429	7.019
0.429	7.116
0.430	7.037
0.430	7.926
0.431	7.011
0.431	7.098
0.432	7.019
0.432	7.187
0.433	7.002
0.433	7.072
0.434	7.037
0.434	7.385
0.435	7.722
0.435	7.404
0.436	7.276
0.436	6.372
0.437	7.169
0.437	7.178
0.438	7.713
0.438	6.890
0.439	7.125
0.439	7.054
0.440	7.072
0.440	7.240
0.441	7.187
0.441	7.394
0.442	7.125
0.442	7.116
0.443	7.089
0.443	7.089
0.444	7.125
0.444	7.054
0.445	6.993
0.445	6.933
0.446	7.063
0.446	7.072
0.447	7.349
0.447	7.637
0.448	7.160
0.448	7.072
0.449	6.993
0.449	7.046
0.450	7.125
0.450	7.002
0.451	7.195
0.451	7.169
0.452	7.037
0.452	7.072
0.453	7.028
0.453	7.089
0.454	7.487
0.454	7.072
0.455	7.072
0.455	7.019
0.456	7.072
0.456	8.116
0.457	7.089
0.457	6.814
0.458	7.116
0.458	7.002
0.459	7.195
0.459	7.125
0.460	7.125
0.460	6.985
0.461	6.950
0.461	6.856
0.462	7.107
