TIME	U1cal
0.199	7.524
0.200	7.450
0.200	6.696
0.201	7.996
0.201	7.385
0.202	7.571
0.202	7.468
0.203	7.468
0.203	7.187
0.204	7.072
0.204	6.444
0.205	7.204
0.205	7.160
0.206	7.258
0.206	7.431
0.207	6.638
0.207	7.394
0.208	7.440
0.208	7.240
0.209	7.349
0.209	6.968
0.210	7.160
0.210	7.089
0.211	6.839
0.211	6.763
0.212	6.622
0.212	7.019
0.213	7.422
0.213	6.647
0.214	7.125
0.214	7.213
0.215	7.770
0.215	7.187
0.216	6.755
0.216	7.303
0.217	7.367
0.217	7.019
0.218	7.276
0.218	7.349
0.219	7.394
0.219	8.258
0.220	7.240
0.220	7.608
0.221	7.303
0.221	7.081
0.222	7.072
0.222	7.404
0.223	7.986
0.223	7.627
0.224	7.331
0.224	6.746
0.225	7.431
0.225	7.440
0.226	7.313
0.226	7.187
0.227	7.533
0.227	7.413
0.228	7.267
0.228	7.240
0.229	7.125
0.229	7.178
0.230	7.294
0.230	7.524
0.231	7.267
0.231	7.240
0.232	7.321
0.232	7.413
0.233	7.276
0.233	7.231
0.234	7.385
0.234	7.294
0.235	7.231
0.235	7.331
0.236	7.178
0.236	7.028
0.237	7.081
0.237	7.285
0.238	7.742
0.238	7.240
0.239	7.385
0.239	7.267
0.240	7.222
0.240	7.331
0.241	7.249
0.241	7.222
0.242	7.204
0.242	7.468
0.243	7.487
0.243	7.249
0.244	7.431
0.244	7.313
0.245	6.638
0.245	7.404
0.246	7.294
0.246	6.950
0.247	7.422
0.247	7.240
0.248	7.385
0.248	7.222
0.249	7.178
0.249	7.276
0.250	6.713
0.250	7.294
0.251	7.294
0.251	7.331
0.252	7.285
0.252	7.294
0.252	7.385
0.253	7.294
0.254	6.882
0.254	7.656
0.255	7.487
0.255	7.054
0.256	7.450
0.256	7.046
0.257	7.231
0.257	7.646
0.258	7.656
0.258	7.321
0.259	7.394
0.259	7.249
0.260	7.394
0.260	7.240
0.261	7.376
0.261	7.169
0.262	7.081
0.262	7.249
0.263	7.367
0.263	7.966
0.264	7.240
0.264	7.376
0.265	7.098
0.265	7.627
0.266	7.376
0.266	7.413
0.267	7.213
0.267	7.956
0.268	7.249
0.268	7.222
0.269	7.204
0.269	7.249
0.270	7.294
0.270	7.321
0.271	7.313
0.271	7.240
0.272	7.358
0.272	7.331
0.273	7.019
0.273	7.561
0.274	7.151
0.274	7.376
0.275	6.721
0.275	6.805
0.275	7.276
0.276	7.160
0.277	7.996
0.277	7.543
0.278	7.187
0.278	7.303
0.279	7.385
0.279	7.367
0.280	7.450
0.280	7.431
0.281	7.028
0.281	7.515
0.282	7.276
0.282	6.907
0.282	6.630
0.283	7.684
0.284	6.993
0.284	7.249
0.285	7.829
0.285	7.276
0.286	7.019
0.286	7.385
0.287	7.986
0.287	7.487
0.288	7.496
0.288	7.321
0.289	7.276
0.289	7.477
0.290	7.656
0.290	7.195
0.291	7.431
0.291	7.213
0.292	7.477
0.292	7.240
0.293	7.116
0.293	7.627
0.294	7.331
0.294	7.267
0.295	7.751
0.295	7.376
0.296	7.258
0.296	7.231
0.297	7.966
0.297	7.240
0.298	7.081
0.298	7.267
0.299	7.276
0.299	8.045
0.300	7.231
0.300	7.533
0.301	7.404
0.301	7.917
0.302	7.331
0.302	8.015
0.303	7.231
0.303	7.422
0.304	7.204
0.304	6.985
0.305	6.557
0.305	6.907
0.306	7.321
0.306	7.431
0.307	6.630
0.307	7.496
0.308	6.865
0.308	7.081
0.309	7.385
0.309	7.267
0.310	7.063
0.310	6.916
0.311	7.431
0.311	7.222
0.312	7.349
0.312	7.204
0.313	7.187
0.313	7.222
0.314	7.349
0.314	7.533
0.315	7.580
