TIME	U1cal
0.000	6.285
0.001	7.037
0.001	7.028
0.002	7.571
0.002	6.993
0.003	7.799
0.003	6.942
0.004	7.142
0.004	7.063
0.005	7.349
0.005	6.755
0.006	7.178
0.006	6.950
0.007	7.313
0.007	7.665
0.008	7.675
0.008	7.204
0.009	7.081
0.009	7.178
0.010	6.597
0.010	7.054
0.011	6.985
0.011	7.037
0.012	7.240
0.012	7.213
0.013	6.713
0.013	7.276
0.014	7.195
0.014	7.160
0.015	7.098
0.015	7.098
0.016	7.151
0.016	7.331
0.016	7.089
0.017	7.011
0.018	7.276
0.018	7.204
0.019	7.125
0.019	6.848
0.020	7.459
0.020	7.169
0.021	7.046
0.021	7.487
0.022	7.002
0.022	7.303
0.023	7.028
0.023	7.694
0.024	7.450
0.024	7.125
0.025	7.496
0.025	7.125
0.026	7.294
0.026	7.169
0.027	7.487
0.027	7.468
0.028	7.098
0.028	7.011
0.029	7.169
0.029	7.240
0.030	7.267
0.030	7.037
0.031	7.213
0.031	7.089
0.032	6.839
0.032	7.125
0.033	7.213
0.033	7.125
0.034	7.187
0.034	7.222
0.035	7.151
0.035	6.285
0.036	7.440
0.036	6.907
0.037	6.993
0.037	6.839
0.038	7.477
0.038	7.125
0.039	7.098
0.039	7.413
0.040	7.116
0.040	6.890
0.041	7.946
0.041	7.160
0.042	6.985
0.042	8.035
0.043	7.240
0.043	7.627
0.044	7.116
0.044	6.396
0.045	6.942
0.045	6.647
0.046	6.557
0.046	7.072
0.047	7.213
0.047	6.839
0.048	7.349
0.048	6.907
0.049	7.178
0.049	6.856
0.050	7.054
0.050	7.187
0.051	7.054
0.051	7.107
0.052	7.116
0.052	7.404
0.053	6.985
0.053	7.313
0.054	7.376
0.054	7.413
0.055	7.331
0.055	7.231
0.056	7.151
0.056	7.267
0.057	7.608
0.057	7.187
0.058	6.805
0.058	7.195
0.059	7.125
0.059	7.367
0.060	6.968
0.060	7.487
0.061	6.916
0.061	7.169
0.062	6.696
0.062	6.444
0.063	6.822
0.063	6.573
0.064	7.394
0.064	7.258
0.065	6.581
0.065	6.814
0.066	7.054
0.066	7.125
0.067	7.321
0.067	7.358
0.068	7.204
0.068	7.098
0.069	7.098
0.069	7.231
0.070	7.761
0.070	7.178
0.071	7.160
0.071	6.597
0.072	7.258
0.072	6.839
0.073	6.950
0.073	6.721
0.073	7.294
0.074	6.968
0.075	7.195
0.075	7.151
0.076	6.647
0.076	7.358
0.077	7.732
0.077	7.213
0.078	7.450
0.078	7.358
0.079	7.195
0.079	7.249
0.080	7.213
0.080	6.573
0.081	6.364
0.081	6.959
0.082	7.081
0.082	7.222
0.083	7.285
0.083	6.933
0.084	7.169
0.084	8.126
0.085	7.589
0.085	7.178
0.086	7.063
0.086	7.231
0.087	6.780
0.087	7.450
0.088	7.125
0.088	6.950
0.089	7.187
0.089	7.313
0.090	7.178
0.090	7.107
0.091	7.440
0.091	7.116
0.092	7.222
0.092	6.763
0.093	7.125
0.093	6.950
0.094	7.019
0.094	7.089
0.095	7.054
0.095	6.638
0.096	7.376
0.096	7.422
0.097	6.865
0.097	7.116
0.098	7.422
0.098	7.213
0.099	7.116
0.099	7.098
0.100	6.309
0.100	6.420
0.101	6.814
0.101	7.116
0.102	6.856
0.102	7.046
0.103	6.959
0.103	7.142
0.104	6.780
0.104	7.178
0.105	7.240
0.105	7.063
0.106	7.089
0.106	6.976
0.107	7.054
0.107	7.178
0.108	7.160
0.108	7.267
0.109	7.116
0.109	7.303
0.110	6.814
0.110	6.688
0.111	7.204
0.111	7.321
0.112	7.877
0.112	7.742
0.113	7.063
0.113	7.195
0.114	6.993
0.114	7.187
0.115	7.195
0.115	7.081
0.116	7.258
0.116	6.873
0.117	6.907
0.117	7.231
0.118	7.063
0.118	7.258
0.119	7.125
0.119	7.477
0.120	7.276
0.120	7.422
0.121	7.195
0.121	7.313
0.122	7.321
0.122	7.195
0.123	7.349
0.123	7.413
0.124	7.019
0.124	7.089
0.125	7.627
0.125	6.831
0.126	7.258
0.126	7.313
0.127	7.002
0.127	7.125
0.128	6.993
0.128	7.098
0.128	7.178
0.129	7.054
0.130	7.468
0.130	7.125
0.131	6.805
0.131	7.054
0.132	7.081
0.132	7.258
0.133	7.761
0.133	6.557
0.134	6.772
0.134	7.089
0.135	7.240
0.135	7.331
0.136	7.011
0.136	7.187
0.137	7.213
0.137	7.505
0.138	6.968
0.138	7.204
0.139	7.358
0.139	7.187
0.140	7.107
0.140	7.313
0.141	6.976
0.141	6.805
0.142	7.107
0.142	6.942
0.143	7.098
0.143	7.431
0.144	7.116
0.144	7.321
0.145	7.204
0.145	7.367
0.146	6.573
0.146	7.178
0.147	7.160
0.147	7.249
0.148	7.331
0.148	7.072
0.149	7.151
0.149	7.376
0.150	7.313
0.150	7.204
0.151	7.187
0.151	7.240
0.152	6.907
0.152	7.151
0.153	6.688
0.153	7.294
0.154	7.019
0.154	7.313
0.155	7.213
0.155	7.294
0.156	7.107
0.156	7.440
0.157	6.985
0.157	7.276
0.158	6.873
0.158	7.089
0.159	7.169
0.159	6.856
0.160	6.985
0.160	8.055
0.161	7.367
0.161	7.385
0.162	7.349
0.162	6.420
0.163	7.178
0.163	7.107
0.164	7.589
0.164	7.627
0.165	7.072
0.165	7.187
0.166	7.249
0.166	7.089
0.167	6.524
0.167	6.933
0.168	7.385
0.168	7.107
0.169	7.313
0.169	7.089
0.170	7.213
0.170	6.763
0.171	6.672
0.171	7.249
0.172	6.797
0.172	7.376
0.173	7.524
0.173	7.028
0.174	7.125
0.174	7.249
0.175	7.187
0.175	7.011
0.176	6.738
0.176	7.713
0.177	7.072
0.177	6.672
0.178	7.054
0.178	7.046
0.179	7.019
0.179	7.285
0.180	7.019
0.180	8.116
0.181	6.950
0.181	7.098
0.182	7.169
0.182	7.089
0.183	7.422
0.183	7.294
0.184	6.968
0.184	6.839
0.185	7.169
0.185	7.151
0.186	7.222
0.186	7.125
0.187	7.276
0.187	7.169
0.188	7.187
0.188	7.151
0.189	7.187
0.189	7.376
0.190	6.524
0.190	7.331
0.191	7.037
0.191	7.213
0.192	7.160
0.192	7.125
0.193	7.276
0.193	7.002
0.194	7.294
0.194	7.276
0.195	6.907
0.195	6.985
0.196	7.089
0.196	7.098
0.197	7.213
0.197	6.985
0.198	7.002
0.198	7.089
0.199	7.151
0.199	7.160
0.200	7.142
0.200	6.848
0.201	6.549
0.201	6.557
0.202	7.276
0.202	7.063
0.203	7.222
0.203	7.468
0.204	7.331
0.204	6.788
0.205	7.303
0.205	6.696
0.206	7.505
0.206	7.848
0.207	7.187
0.207	7.976
0.208	7.178
0.208	7.204
0.209	7.028
0.209	7.349
0.210	6.606
0.210	7.169
0.211	7.054
0.211	7.151
0.212	7.098
0.212	7.222
0.213	7.002
0.213	7.195
0.214	7.116
0.214	7.313
0.215	7.142
0.215	7.089
0.216	6.606
0.216	7.046
0.217	7.037
0.217	7.178
0.218	7.178
0.218	7.240
0.219	6.993
0.219	7.303
0.220	8.217
0.220	6.655
0.221	6.916
0.221	6.882
0.222	7.002
0.222	7.125
0.223	7.178
0.223	6.317
0.224	7.240
0.224	7.790
0.225	7.151
0.225	7.160
0.226	6.630
0.226	7.240
0.227	7.459
0.227	6.933
0.228	7.761
0.228	7.089
0.229	7.072
0.229	7.054
0.230	6.942
0.230	7.543
0.231	7.169
0.231	7.037
0.232	7.072
0.232	6.968
0.233	6.950
0.233	7.107
0.234	6.589
0.234	7.294
0.235	7.169
0.235	6.916
0.236	6.942
0.236	7.240
0.237	6.993
0.237	7.450
0.238	7.142
0.238	7.213
0.239	7.160
0.239	7.249
0.240	7.637
0.240	7.358
0.241	7.098
0.241	7.294
0.242	6.933
0.242	7.394
0.243	7.450
0.243	7.213
0.244	7.276
0.244	6.805
0.245	7.028
0.245	7.917
0.246	6.907
0.246	7.213
0.247	7.107
0.247	7.258
0.248	7.313
0.248	7.054
0.249	7.151
0.249	7.098
0.250	7.213
0.250	6.805
0.251	7.063
0.251	6.985
0.252	7.046
0.252	7.054
0.252	7.072
0.253	7.160
0.254	7.089
0.254	7.151
0.255	7.107
0.255	7.169
0.256	6.597
0.256	6.606
0.257	7.098
0.257	6.839
0.258	7.169
0.258	7.151
0.259	7.321
0.259	6.763
0.260	7.656
0.260	6.622
0.261	7.331
0.261	7.656
0.262	6.655
0.262	7.089
0.263	6.396
0.263	7.125
0.264	7.589
0.264	7.107
0.265	7.072
0.265	7.116
0.266	7.107
0.266	7.249
0.267	8.035
0.267	7.222
0.268	7.770
0.268	7.098
0.269	7.160
0.269	6.968
0.270	6.672
0.270	7.107
0.271	7.684
0.271	7.160
0.272	7.169
0.272	6.688
0.273	7.187
0.273	7.321
0.274	7.142
0.274	7.028
0.275	6.959
0.275	7.098
0.275	7.169
0.276	7.063
0.277	7.098
0.277	6.865
0.278	7.063
0.278	7.160
0.279	7.151
0.279	7.116
0.280	6.788
0.280	6.848
0.281	7.028
0.281	7.160
0.282	7.285
0.282	7.089
0.282	6.622
0.283	6.933
0.284	7.107
0.284	7.028
0.285	6.805
0.285	6.968
0.286	7.142
0.286	7.063
0.287	7.169
0.287	7.107
0.288	7.422
0.288	7.240
0.289	7.116
0.289	7.125
0.290	6.985
0.290	7.204
0.291	7.285
0.291	7.160
0.292	6.788
0.292	7.722
0.293	6.882
0.293	7.496
0.294	7.037
0.294	7.116
0.295	7.019
0.295	6.688
0.296	7.151
0.296	7.037
0.297	6.899
0.297	7.098
0.298	7.063
0.298	7.089
0.299	7.046
0.299	7.028
0.300	7.019
0.300	7.809
0.301	6.933
0.301	7.054
0.302	7.142
0.302	7.178
0.303	7.089
0.303	6.933
0.304	7.249
0.304	7.294
0.305	7.011
